"","A1","Z1","Y2","L1","A0","Z0","L0"
"227",1,1,0,-1.52409977806294,1,0,0
"228",1,1,31357,0.886334089244092,1,1,1
"229",0,0,17194,-1.52409977806294,1,1,1
"230",1,1,1087,0.714781197362462,0,1,0
"231",1,1,90,-1.52409977806294,1,1,0
"232",0,0,861,0.376672979649578,1,1,1
"233",1,1,49490,1.11946789335359,1,1,1
"234",0,0,5199,0.761683622822299,1,1,1
"235",0,1,213,-1.52409977806294,1,1,0
"236",0,1,14132,-1.52409977806294,0,0,1
"237",0,1,2260,0.926217683427287,0,1,0
"238",1,1,51183,0.975474577058332,1,1,1
"239",0,0,45354,0.886334089244092,1,1,1
"240",1,1,79278,0.859248314510023,1,0,1
"241",1,1,69042,1.14965116990703,0,1,1
"242",0,0,0,1.10301628464762,1,0,0
"243",0,1,34373,0.847504480344855,1,1,1
"244",1,1,3379,-1.52409977806294,0,1,1
"245",1,1,46443,0.69735622638746,1,1,1
"246",0,0,2036,-1.52409977806294,0,1,0
"247",1,1,25767,0.538805966010795,0,1,1
"248",0,1,24888,0.254151860684496,1,1,1
"249",0,0,75,-1.52409977806294,0,1,0
"250",1,1,20058,0.902074139648994,0,1,0
"251",1,1,3594,0.371697865233199,1,1,1
"252",0,0,63423,0.726847817268774,1,1,1
"253",1,1,24606,0.212382210845837,1,1,1
"254",1,0,18975,-1.52409977806294,0,1,0
"255",1,1,20751,0.878690015641386,1,0,0
"256",0,1,31765,0.776315827974546,1,1,0
"257",1,1,15302,0.350831884717768,1,1,0
"258",1,1,12327,0.350831884717768,0,1,1
"259",0,0,306,-1.52409977806294,0,1,0
"260",0,1,17127,-1.52409977806294,0,1,0
"261",1,1,18374,0.639600607607771,1,0,0
"262",0,0,68820,1.04667001220076,1,1,1
"263",1,1,0,0.862723942262797,0,1,0
"264",0,0,38945,0.946884340069479,1,1,0
"265",0,0,28804,0.648797858205049,1,1,0
"266",1,1,14625,-1.52409977806294,1,1,0
"267",0,0,46253,0.858581213504869,1,1,1
"268",0,0,0,-1.52409977806294,1,1,0
"269",0,0,26040,0.0247237191026457,1,1,0
"270",0,1,41031,0.589503166705278,1,1,1
"271",0,1,8775,0.212382210845837,0,0,0
"272",1,1,321,0.538805966010795,1,0,1
"273",1,1,30837,0.867249506894784,1,1,1
"274",0,0,954,-1.52409977806294,0,1,1
"275",0,0,5737,0.767175877480682,1,1,0
"276",1,1,82217,1.21304773526138,0,1,1
"277",1,1,21616,0.102570790588686,1,1,1
"278",1,1,80166,0.564659378976687,1,1,1
"279",0,1,0,-1.52409977806294,0,1,0
"280",1,1,6821,-0.145083408307552,1,1,0
"281",0,0,18501,0.102570790588686,0,1,0
"282",0,1,0,-0.0139730138137069,1,1,0
"283",0,0,16332,0.779015637757325,0,0,0
"284",0,0,29452,0.539212535211941,1,1,0
"285",1,1,6965,-1.52409977806294,1,1,0
"286",1,1,34612,1.0249493702102,1,1,0
"287",1,1,1565,-1.52409977806294,1,1,0
"288",1,1,26334,-1.52409977806294,0,0,1
"289",0,0,0,0.212382210845837,1,0,1
"290",0,1,2322,-1.52409977806294,1,0,0
"291",1,1,36201,-0.0591199816718074,0,0,1
"292",1,1,6747,-1.52409977806294,0,1,1
"293",0,0,0,0.975474577058332,0,0,0
"294",0,0,13726,-1.52409977806294,1,1,1
"295",1,1,2806,-0.12714755051218,0,1,1
"296",0,1,48553,1.00133785291652,0,0,1
"297",1,1,978,0.397996893485543,0,1,0
"298",1,1,38743,0.977636802546718,1,1,1
"299",1,1,0,0.648797858205049,1,1,0
"300",1,1,46159,1.04667001220076,1,1,1
