recid	D2	Z2	earnings	prevearn	edu	n_hs2	n_hs2_abv	sex
300981	0	1	29339	450	10	28	0	0
300983	1	1	225	0	12	19	0	1
300996	1	1	10942	0	11	19	0	1
300999	0	1	10728	4227	10	39	1	0
301000	1	1	5953	11000	9	1	0	0
301005	0	0	0	1540	12	13	0	0
301006	1	1	24971	9000	11	9	0	0
301007	1	1	1479	5000	10	15	0	0
301008	0	0	45465	3000	11	1	0	1
301012	1	1	36091	15028	12	13	0	0
301013	0	0	798	8000	12	13	0	1
301014	0	0	40727	15000	16	13	0	0
301020	0	0	1379	0	12	13	0	0
301022	1	1	0	0	9	19	0	0
301023	1	1	2934	0	9	17	0	0
301024	0	0	13	94	11	15	0	1
301025	0	1	651	0	11	9	0	1
301028	0	1	0	0	8	1	0	0
301029	1	1	20196	400	15	15	0	0
301031	1	1	352	6220	11	1	0	1
301032	1	1	11261	2300	11	9	0	0
301042	0	0	5337	0	11	13	0	1
301043	1	1	12747	700	10	0	0	1
301044	0	0	48024	3900	10	39	1	1
301045	0	0	0	0	12	1	0	0
301046	1	1	9931	28	12	39	1	0
301047	0	1	0	30000	17	13	0	1
301048	1	1	15649	0	9	19	0	1
301049	0	1	636	35000	16	13	0	1
301050	1	1	29302	1400	12	16	0	1
301051	1	1	52197	10200	12	19	0	1
301054	0	0	1541	5400	9	19	0	1
301059	1	1	19773	150	12	13	0	1
301062	0	0	0	0	8	9	0	0
301066	0	0	489	4500	12	1	0	1
301067	1	1	10251	0	10	37	1	0
301068	1	1	18	2000	10	9	0	0
301072	0	0	0	774	12	0	0	0
301073	1	1	0	0	14	9	0	1
301074	1	1	9351	1173	12	9	0	1
301078	0	0	2691	400	12	39	1	1
301081	0	0	17537	0	10	13	0	1
301084	0	0	2074	0	9	1	0	0
301085	1	1	12305	16000	11	0	0	1
301086	1	1	10375	6000	12	2	0	1
301088	0	0	13965	134	12	13	0	1
301089	1	1	28635	3793	12	2	0	0
301091	1	1	13024	8000	11	1	0	1
301092	1	1	12714	5189	12	15	0	0
301093	1	1	15828	3981	13	2	0	1
301094	0	0	40418	0	15	13	0	1
301095	1	1	11591	108	10	37	1	1
301096	1	1	51541	1200	13	9	0	0
301102	1	1	5337	0	12	9	0	1
301105	1	1	17263	0	12	5	0	1
301106	1	1	61398	25183	12	0	0	1
301107	0	0	4943	2400	8	2	0	1
301109	1	1	46737	200	12	1	0	1
301110	0	0	58942	8000	10	13	0	1
301114	1	1	25212	1800	10	16	0	0
301115	0	0	3170	0	8	17	0	0
301117	1	1	5337	0	16	19	0	1
301120	1	1	19094	5136	11	2	0	0
301123	1	1	36153	8500	12	13	0	0
301126	0	1	16363	98	12	1	0	1
301127	0	1	33590	800	17	16	0	1
301128	0	0	0	0	12	13	0	0
301129	0	1	6822	3129	11	13	0	1
301131	1	1	0	1050	12	17	0	0
301136	1	1	52129	14000	12	1	0	1
301138	1	1	12412	3804	12	15	0	0
301143	0	1	0	398	15	19	0	0
301145	1	1	13881	586	12	9	0	0
301149	1	1	15109	7000	13	9	0	0
301152	0	1	8187	700	12	19	0	0
301154	1	1	23555	0	12	17	0	0
301156	0	1	7260	40	9	2	0	1
301159	1	1	0	15933	12	16	0	1
301162	1	1	10242	0	9	9	0	1
301163	1	1	10423	5000	9	13	0	1
301164	1	1	27295	0	14	1	0	1
301165	1	1	63416	0	13	39	1	1
301168	0	0	5835	200	12	1	0	0
301169	0	0	25173	8700	12	39	1	1
301170	0	0	25648	2100	10	1	0	0
